127.0.0.1, 2018-10-22 15:27:29, GET, /admin/static/_2.17.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.006954
127.0.0.1, 2018-10-22 15:27:29, GET, /admin/static/_2.17.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.009294
127.0.0.1, 2018-10-22 15:27:29, GET, /admin/static/_2.17.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.005357
127.0.0.1, 2018-10-22 15:27:29, GET, /admin/static/_2.17.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.006862
127.0.0.1, 2018-10-22 15:27:29, GET, /admin/static/_2.17.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003562
127.0.0.1, 2018-10-22 15:27:29, GET, /admin/static/_2.17.1/images/questions.png, HTTP/1.1, 200, 0.001261
127.0.0.1, 2018-10-22 15:27:29, GET, /admin/static/_2.17.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.001039
127.0.0.1, 2018-10-22 15:27:32, POST, /admin/default/index, HTTP/1.1, 303, 0.008404
127.0.0.1, 2018-10-22 15:27:32, GET, /admin/default/site, HTTP/1.1, 200, 0.033143
127.0.0.1, 2018-10-22 15:27:32, GET, /admin/static/_2.17.1/images/folder_locked.png, HTTP/1.1, 200, 0.001477
127.0.0.1, 2018-10-22 15:27:32, GET, /admin/static/_2.17.1/images/folder.png, HTTP/1.1, 200, 0.001016
127.0.0.1, 2018-10-22 15:27:32, GET, /admin/static/_2.17.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000702
127.0.0.1, 2018-10-22 15:27:32, POST, /admin/default/check_version, HTTP/1.1, 200, 0.227917
127.0.0.1, 2018-10-22 15:27:34, GET, /start/default/index, HTTP/1.1, 200, 0.090868
127.0.0.1, 2018-10-22 15:27:34, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.000589
127.0.0.1, 2018-10-22 15:27:34, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001107
127.0.0.1, 2018-10-22 15:27:34, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.001829
127.0.0.1, 2018-10-22 15:27:34, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000914
127.0.0.1, 2018-10-22 15:27:34, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.004076
127.0.0.1, 2018-10-22 15:27:34, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.004647
127.0.0.1, 2018-10-22 15:27:34, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.005014
127.0.0.1, 2018-10-22 15:27:34, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.001174
127.0.0.1, 2018-10-22 15:27:34, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.001499
127.0.0.1, 2018-10-22 15:27:34, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.005033
127.0.0.1, 2018-10-22 15:27:34, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.002109
127.0.0.1, 2018-10-22 15:27:34, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000395
127.0.0.1, 2018-10-22 15:27:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000175
127.0.0.1, 2018-10-22 15:27:36, GET, /start/default/add, HTTP/1.1, 303, 0.015146
127.0.0.1, 2018-10-22 15:27:36, GET, /start/default/user/login, HTTP/1.1, 200, 0.019546
127.0.0.1, 2018-10-22 15:27:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000171
127.0.0.1, 2018-10-22 15:27:41, GET, /start/default/user/register, HTTP/1.1, 200, 0.021027
127.0.0.1, 2018-10-22 15:27:41, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000762
127.0.0.1, 2018-10-22 15:27:41, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000393
127.0.0.1, 2018-10-22 15:27:41, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.002294
127.0.0.1, 2018-10-22 15:27:41, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000907
127.0.0.1, 2018-10-22 15:27:41, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.001779
127.0.0.1, 2018-10-22 15:27:41, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.003474
127.0.0.1, 2018-10-22 15:27:41, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.004655
127.0.0.1, 2018-10-22 15:27:41, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.004424
127.0.0.1, 2018-10-22 15:27:41, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001510
127.0.0.1, 2018-10-22 15:27:41, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001872
